Comunidades y Ciudades Autónomas,Superficie Util,Tamaño Hogar,Año,Total
05 Canarias,Entre 46 y 75 m2,Total,2017,243.2
05 Canarias,Entre 46 y 75 m2,Total,2016,218.2
05 Canarias,Entre 46 y 75 m2,Total,2015,231.0
05 Canarias,Entre 46 y 75 m2,Total,2014,233.1
05 Canarias,Entre 46 y 75 m2,Total,2013,220.6
05 Canarias,Entre 46 y 75 m2,1 persona,2020,77.8
05 Canarias,Entre 46 y 75 m2,1 persona,2019,78.1
05 Canarias,Entre 46 y 75 m2,1 persona,2018,76.9
05 Canarias,Entre 46 y 75 m2,1 persona,2017,78.0
05 Canarias,Entre 46 y 75 m2,1 persona,2016,77.1
05 Canarias,Entre 46 y 75 m2,1 persona,2015,74.0
05 Canarias,Entre 46 y 75 m2,1 persona,2014,68.1
05 Canarias,Entre 46 y 75 m2,1 persona,2013,66.6
05 Canarias,Entre 46 y 75 m2,2 personas,2020,83.2
05 Canarias,Entre 46 y 75 m2,2 personas,2019,80.0
05 Canarias,Entre 46 y 75 m2,2 personas,2018,76.6
05 Canarias,Entre 46 y 75 m2,2 personas,2017,79.2
05 Canarias,Entre 46 y 75 m2,2 personas,2016,65.1
05 Canarias,Entre 46 y 75 m2,2 personas,2015,64.9
05 Canarias,Entre 46 y 75 m2,2 personas,2014,68.8
05 Canarias,Entre 46 y 75 m2,2 personas,2013,77.6
05 Canarias,Entre 46 y 75 m2,3 personas,2020,57.0
05 Canarias,Entre 46 y 75 m2,3 personas,2019,54.2
05 Canarias,Entre 46 y 75 m2,3 personas,2018,56.2
05 Canarias,Entre 46 y 75 m2,3 personas,2017,52.2
05 Canarias,Entre 46 y 75 m2,3 personas,2016,39.6
05 Canarias,Entre 46 y 75 m2,3 personas,2015,51.2
05 Canarias,Entre 46 y 75 m2,3 personas,2014,53.1
05 Canarias,Entre 46 y 75 m2,3 personas,2013,42.6
05 Canarias,Entre 46 y 75 m2,4 personas,2020,31.1
05 Canarias,Entre 46 y 75 m2,4 personas,2019,31.5
05 Canarias,Entre 46 y 75 m2,4 personas,2018,32.6
05 Canarias,Entre 46 y 75 m2,4 personas,2017,25.5
05 Canarias,Entre 46 y 75 m2,4 personas,2016,27.6
05 Canarias,Entre 46 y 75 m2,4 personas,2015,31.4
05 Canarias,Entre 46 y 75 m2,4 personas,2014,33.0
05 Canarias,Entre 46 y 75 m2,4 personas,2013,26.2
05 Canarias,Entre 46 y 75 m2,5 personas,2020,7.0
05 Canarias,Entre 46 y 75 m2,5 personas,2019,4.7
05 Canarias,Entre 46 y 75 m2,5 personas,2018,8.9
05 Canarias,Entre 46 y 75 m2,5 personas,2017,6.0
05 Canarias,Entre 46 y 75 m2,5 personas,2016,6.5
05 Canarias,Entre 46 y 75 m2,5 personas,2015,7.0
05 Canarias,Entre 46 y 75 m2,5 personas,2014,7.4
05 Canarias,Entre 46 y 75 m2,5 personas,2013,6.7
05 Canarias,Entre 46 y 75 m2,6 personas,2020,3.3
05 Canarias,Entre 46 y 75 m2,6 personas,2019,2.7
05 Canarias,Entre 46 y 75 m2,6 personas,2018,2.5
05 Canarias,Entre 46 y 75 m2,6 personas,2017,1.8
05 Canarias,Entre 46 y 75 m2,6 personas,2016,2.0
05 Canarias,Entre 46 y 75 m2,6 personas,2015,1.8
05 Canarias,Entre 46 y 75 m2,6 personas,2014,2.5
05 Canarias,Entre 46 y 75 m2,6 personas,2013,0.7
05 Canarias,Entre 46 y 75 m2,7 personas,2020,0.8
05 Canarias,Entre 46 y 75 m2,7 personas,2018,0.5
05 Canarias,Entre 46 y 75 m2,7 personas,2017,0.5
05 Canarias,Entre 46 y 75 m2,7 personas,2016,0.4
05 Canarias,Entre 46 y 75 m2,7 personas,2015,0.4
05 Canarias,Entre 46 y 75 m2,7 personas,2014,0.1
05 Canarias,Entre 46 y 75 m2,7 personas,2013,0.2
05 Canarias,Entre 46 y 75 m2,8 personas o más,2019,2.2
05 Canarias,Entre 46 y 75 m2,8 personas o más,2018,0.4
05 Canarias,Entre 46 y 75 m2,8 personas o más,2015,0.4
05 Canarias,Entre 46 y 75 m2,8 personas o más,2014,0.1
05 Canarias,Entre 76 y 105 m2,Total,2020,334.6
05 Canarias,Entre 76 y 105 m2,Total,2019,327.4
05 Canarias,Entre 76 y 105 m2,Total,2018,317.5
05 Canarias,Entre 76 y 105 m2,Total,2017,338.6
05 Canarias,Entre 76 y 105 m2,Total,2016,328.3
05 Canarias,Entre 76 y 105 m2,Total,2015,311.0
05 Canarias,Entre 76 y 105 m2,Total,2014,322.9
05 Canarias,Entre 76 y 105 m2,Total,2013,322.3
05 Canarias,Entre 76 y 105 m2,1 persona,2020,72.3
05 Canarias,Entre 76 y 105 m2,1 persona,2019,68.6
05 Canarias,Entre 76 y 105 m2,1 persona,2018,66.4
05 Canarias,Entre 76 y 105 m2,1 persona,2017,72.2
05 Canarias,Entre 76 y 105 m2,1 persona,2016,66.5
05 Canarias,Entre 76 y 105 m2,1 persona,2015,66.2
05 Canarias,Entre 76 y 105 m2,1 persona,2014,69.3
05 Canarias,Entre 76 y 105 m2,1 persona,2013,62.8
05 Canarias,Entre 76 y 105 m2,2 personas,2020,99.4
05 Canarias,Entre 76 y 105 m2,2 personas,2019,103.7
05 Canarias,Entre 76 y 105 m2,2 personas,2018,90.2
05 Canarias,Entre 76 y 105 m2,2 personas,2017,92.5
05 Canarias,Entre 76 y 105 m2,2 personas,2016,88.9
05 Canarias,Entre 76 y 105 m2,2 personas,2015,90.9
05 Canarias,Entre 76 y 105 m2,2 personas,2014,94.7
05 Canarias,Entre 76 y 105 m2,2 personas,2013,79.2
05 Canarias,Entre 76 y 105 m2,3 personas,2020,81.9
05 Canarias,Entre 76 y 105 m2,3 personas,2019,70.4
05 Canarias,Entre 76 y 105 m2,3 personas,2018,80.4
05 Canarias,Entre 76 y 105 m2,3 personas,2017,89.1
05 Canarias,Entre 76 y 105 m2,3 personas,2016,85.4
05 Canarias,Entre 76 y 105 m2,3 personas,2015,73.8
05 Canarias,Entre 76 y 105 m2,3 personas,2014,80.2
05 Canarias,Entre 76 y 105 m2,3 personas,2013,85.0
05 Canarias,Entre 76 y 105 m2,4 personas,2020,55.7
05 Canarias,Entre 76 y 105 m2,4 personas,2019,61.6
05 Canarias,Entre 76 y 105 m2,4 personas,2018,59.1
05 Canarias,Entre 76 y 105 m2,4 personas,2017,62.1
05 Canarias,Entre 76 y 105 m2,4 personas,2016,62.4
05 Canarias,Entre 76 y 105 m2,4 personas,2015,61.2
05 Canarias,Entre 76 y 105 m2,4 personas,2014,55.7
05 Canarias,Entre 76 y 105 m2,4 personas,2013,67.7
05 Canarias,Entre 76 y 105 m2,5 personas,2020,11.7
05 Canarias,Entre 76 y 105 m2,5 personas,2019,12.6
05 Canarias,Entre 76 y 105 m2,5 personas,2018,16.0
05 Canarias,Entre 76 y 105 m2,5 personas,2017,15.2
05 Canarias,Entre 76 y 105 m2,5 personas,2016,20.0
05 Canarias,Entre 76 y 105 m2,5 personas,2015,14.7
05 Canarias,Entre 76 y 105 m2,5 personas,2014,15.4
05 Canarias,Entre 76 y 105 m2,5 personas,2013,17.1
05 Canarias,Entre 76 y 105 m2,6 personas,2020,7.0
05 Canarias,Entre 76 y 105 m2,6 personas,2019,5.8
05 Canarias,Entre 76 y 105 m2,6 personas,2018,5.4
05 Canarias,Entre 76 y 105 m2,6 personas,2017,7.2
05 Canarias,Entre 76 y 105 m2,6 personas,2016,3.6
05 Canarias,Entre 76 y 105 m2,6 personas,2015,2.7
05 Canarias,Entre 76 y 105 m2,6 personas,2014,6.5
05 Canarias,Entre 76 y 105 m2,6 personas,2013,9.3
05 Canarias,Entre 76 y 105 m2,7 personas,2020,3.7
05 Canarias,Entre 76 y 105 m2,7 personas,2019,3.3
05 Canarias,Entre 76 y 105 m2,7 personas,2017,0.3
05 Canarias,Entre 76 y 105 m2,7 personas,2016,0.5
05 Canarias,Entre 76 y 105 m2,7 personas,2015,0.4
05 Canarias,Entre 76 y 105 m2,7 personas,2014,0.6
05 Canarias,Entre 76 y 105 m2,7 personas,2013,1.0
05 Canarias,Entre 76 y 105 m2,8 personas o más,2020,2.9
05 Canarias,Entre 76 y 105 m2,8 personas o más,2019,1.4
05 Canarias,Entre 76 y 105 m2,8 personas o más,2016,1.0
05 Canarias,Entre 76 y 105 m2,8 personas o más,2015,1.0
05 Canarias,Entre 76 y 105 m2,8 personas o más,2014,0.4
05 Canarias,Entre 76 y 105 m2,8 personas o más,2013,0.2
05 Canarias,Entre 106 y 150 m2,Total,2020,136.4
05 Canarias,Entre 106 y 150 m2,Total,2019,124.8
05 Canarias,Entre 106 y 150 m2,Total,2018,132.3
05 Canarias,Entre 106 y 150 m2,Total,2017,147.4
05 Canarias,Entre 106 y 150 m2,Total,2016,142.9
05 Canarias,Entre 106 y 150 m2,Total,2015,136.7
05 Canarias,Entre 106 y 150 m2,Total,2014,140.2
05 Canarias,Entre 106 y 150 m2,Total,2013,135.8
05 Canarias,Entre 106 y 150 m2,1 persona,2020,22.5
05 Canarias,Entre 106 y 150 m2,1 persona,2019,20.6
05 Canarias,Entre 106 y 150 m2,1 persona,2018,18.8
05 Canarias,Entre 106 y 150 m2,1 persona,2017,22.4
05 Canarias,Entre 106 y 150 m2,1 persona,2016,26.9
05 Canarias,Entre 106 y 150 m2,1 persona,2015,21.7
05 Canarias,Entre 106 y 150 m2,1 persona,2014,23.0
05 Canarias,Entre 106 y 150 m2,1 persona,2013,19.7
05 Canarias,Entre 106 y 150 m2,2 personas,2020,39.4
05 Canarias,Entre 106 y 150 m2,2 personas,2019,34.1
05 Canarias,Entre 106 y 150 m2,2 personas,2018,36.4
05 Canarias,Entre 106 y 150 m2,2 personas,2017,43.7
05 Canarias,Entre 106 y 150 m2,2 personas,2016,42.1
05 Canarias,Entre 106 y 150 m2,2 personas,2015,43.2
05 Canarias,Entre 106 y 150 m2,2 personas,2014,40.6
05 Canarias,Entre 106 y 150 m2,2 personas,2013,40.2
05 Canarias,Entre 106 y 150 m2,3 personas,2020,27.6
05 Canarias,Entre 106 y 150 m2,3 personas,2019,30.7
05 Canarias,Entre 106 y 150 m2,3 personas,2018,32.4
05 Canarias,Entre 106 y 150 m2,3 personas,2017,31.2
05 Canarias,Entre 106 y 150 m2,3 personas,2016,35.1
05 Canarias,Entre 106 y 150 m2,3 personas,2015,31.5
05 Canarias,Entre 106 y 150 m2,3 personas,2014,36.8
05 Canarias,Entre 106 y 150 m2,3 personas,2013,34.2
05 Canarias,Entre 106 y 150 m2,4 personas,2020,35.0
05 Canarias,Entre 106 y 150 m2,4 personas,2019,24.8
05 Canarias,Entre 106 y 150 m2,4 personas,2018,31.8
05 Canarias,Entre 106 y 150 m2,4 personas,2017,37.2
05 Canarias,Entre 106 y 150 m2,4 personas,2016,29.2
05 Canarias,Entre 106 y 150 m2,4 personas,2015,26.1
05 Canarias,Entre 106 y 150 m2,4 personas,2014,27.1
05 Canarias,Entre 106 y 150 m2,4 personas,2013,29.6
05 Canarias,Entre 106 y 150 m2,5 personas,2020,3.8
05 Canarias,Entre 106 y 150 m2,5 personas,2019,9.9
05 Canarias,Entre 106 y 150 m2,5 personas,2018,7.2
05 Canarias,Entre 106 y 150 m2,5 personas,2017,8.6
05 Canarias,Entre 106 y 150 m2,5 personas,2016,7.1
05 Canarias,Entre 106 y 150 m2,5 personas,2015,8.1
05 Canarias,Entre 106 y 150 m2,5 personas,2014,8.6
05 Canarias,Entre 106 y 150 m2,5 personas,2013,7.3
05 Canarias,Entre 106 y 150 m2,6 personas,2020,7.2
05 Canarias,Entre 106 y 150 m2,6 personas,2019,4.1
05 Canarias,Entre 106 y 150 m2,6 personas,2018,3.6
05 Canarias,Entre 106 y 150 m2,6 personas,2017,2.9
05 Canarias,Entre 106 y 150 m2,6 personas,2016,1.5
05 Canarias,Entre 106 y 150 m2,6 personas,2015,5.7
05 Canarias,Entre 106 y 150 m2,6 personas,2014,2.4
05 Canarias,Entre 106 y 150 m2,6 personas,2013,3.3
05 Canarias,Entre 106 y 150 m2,7 personas,2020,1.0
05 Canarias,Entre 106 y 150 m2,7 personas,2019,0.5
05 Canarias,Entre 106 y 150 m2,7 personas,2018,1.2
05 Canarias,Entre 106 y 150 m2,7 personas,2017,1.1
05 Canarias,Entre 106 y 150 m2,7 personas,2016,0.4
05 Canarias,Entre 106 y 150 m2,7 personas,2015,0.4
05 Canarias,Entre 106 y 150 m2,7 personas,2014,1.4
05 Canarias,Entre 106 y 150 m2,7 personas,2013,0.6
05 Canarias,Entre 106 y 150 m2,8 personas o más,2018,0.9
05 Canarias,Entre 106 y 150 m2,8 personas o más,2017,0.3
05 Canarias,Entre 106 y 150 m2,8 personas o más,2016,0.8
05 Canarias,Entre 106 y 150 m2,8 personas o más,2014,0.4
05 Canarias,Entre 106 y 150 m2,8 personas o más,2013,0.7
05 Canarias,Más de 150 m2,Total,2020,100.1
05 Canarias,Más de 150 m2,Total,2019,94.6
05 Canarias,Más de 150 m2,Total,2018,99.2
05 Canarias,Más de 150 m2,Total,2017,69.3
05 Canarias,Más de 150 m2,Total,2016,99.2
05 Canarias,Más de 150 m2,Total,2015,99.1
05 Canarias,Más de 150 m2,Total,2014,92.6
05 Canarias,Más de 150 m2,Total,2013,79.1
05 Canarias,Más de 150 m2,1 persona,2020,19.3
05 Canarias,Más de 150 m2,1 persona,2019,10.4
05 Canarias,Más de 150 m2,1 persona,2018,16.1
05 Canarias,Más de 150 m2,1 persona,2017,7.9
05 Canarias,Más de 150 m2,1 persona,2016,9.3
05 Canarias,Más de 150 m2,1 persona,2015,14.9
05 Canarias,Más de 150 m2,1 persona,2014,17.7
05 Canarias,Más de 150 m2,1 persona,2013,10.0
05 Canarias,Más de 150 m2,2 personas,2020,22.6
05 Canarias,Más de 150 m2,2 personas,2019,17.1
05 Canarias,Más de 150 m2,2 personas,2018,31.0
05 Canarias,Más de 150 m2,2 personas,2017,13.9
05 Canarias,Más de 150 m2,2 personas,2016,28.4
05 Canarias,Más de 150 m2,2 personas,2015,23.6
05 Canarias,Más de 150 m2,2 personas,2014,22.4
05 Canarias,Más de 150 m2,2 personas,2013,19.7
05 Canarias,Más de 150 m2,3 personas,2020,23.4
05 Canarias,Más de 150 m2,3 personas,2019,31.0
05 Canarias,Más de 150 m2,3 personas,2018,19.8
05 Canarias,Más de 150 m2,3 personas,2017,16.9
05 Canarias,Más de 150 m2,3 personas,2016,24.3
05 Canarias,Más de 150 m2,3 personas,2015,25.0
05 Canarias,Más de 150 m2,3 personas,2014,13.8
05 Canarias,Más de 150 m2,3 personas,2013,18.9
05 Canarias,Más de 150 m2,4 personas,2020,22.4
05 Canarias,Más de 150 m2,4 personas,2019,25.0
05 Canarias,Más de 150 m2,4 personas,2018,20.7
05 Canarias,Más de 150 m2,4 personas,2017,17.9
05 Canarias,Más de 150 m2,4 personas,2016,23.9
05 Canarias,Más de 150 m2,4 personas,2015,22.3
05 Canarias,Más de 150 m2,4 personas,2014,26.6
05 Canarias,Más de 150 m2,4 personas,2013,19.0
05 Canarias,Más de 150 m2,5 personas,2020,3.6
05 Canarias,Más de 150 m2,5 personas,2019,5.7
05 Canarias,Más de 150 m2,5 personas,2018,8.2
05 Canarias,Más de 150 m2,5 personas,2017,8.5
05 Canarias,Más de 150 m2,5 personas,2016,8.5
05 Canarias,Más de 150 m2,5 personas,2015,9.7
05 Canarias,Más de 150 m2,5 personas,2014,8.3
05 Canarias,Más de 150 m2,5 personas,2013,7.7
05 Canarias,Más de 150 m2,6 personas,2020,6.5
05 Canarias,Más de 150 m2,6 personas,2019,2.9
05 Canarias,Más de 150 m2,6 personas,2018,2.5
05 Canarias,Más de 150 m2,6 personas,2017,2.4
05 Canarias,Más de 150 m2,6 personas,2016,3.7
05 Canarias,Más de 150 m2,6 personas,2015,2.8
05 Canarias,Más de 150 m2,6 personas,2014,2.6
05 Canarias,Más de 150 m2,6 personas,2013,2.9
05 Canarias,Más de 150 m2,7 personas,2020,0.9
05 Canarias,Más de 150 m2,7 personas,2019,1.0
05 Canarias,Más de 150 m2,7 personas,2018,0.6
05 Canarias,Más de 150 m2,7 personas,2017,1.2
05 Canarias,Más de 150 m2,7 personas,2016,0.4
05 Canarias,Más de 150 m2,7 personas,2014,1.1
05 Canarias,Más de 150 m2,7 personas,2013,0.4
05 Canarias,Más de 150 m2,8 personas o más,2020,1.4
05 Canarias,Más de 150 m2,8 personas o más,2019,1.5
05 Canarias,Más de 150 m2,8 personas o más,2018,0.2
05 Canarias,Más de 150 m2,8 personas o más,2017,0.7
05 Canarias,Más de 150 m2,8 personas o más,2016,0.9
05 Canarias,Más de 150 m2,8 personas o más,2015,0.8
05 Canarias,Más de 150 m2,8 personas o más,2014,0.2
05 Canarias,Más de 150 m2,8 personas o más,2013,0.4
06 Cantabria,Total,Total,2020,243.1
06 Cantabria,Total,Total,2019,241.7
06 Cantabria,Total,Total,2018,240.1
06 Cantabria,Total,Total,2017,239.6
06 Cantabria,Total,Total,2016,239.0
06 Cantabria,Total,Total,2015,239.3
06 Cantabria,Total,Total,2014,239.5
06 Cantabria,Total,Total,2013,237.8
06 Cantabria,Total,1 persona,2020,69.7
06 Cantabria,Total,1 persona,2019,68.2
06 Cantabria,Total,1 persona,2018,66.9
06 Cantabria,Total,1 persona,2017,66.1
06 Cantabria,Total,1 persona,2016,65.5
06 Cantabria,Total,1 persona,2015,65.3
06 Cantabria,Total,1 persona,2014,65.0
06 Cantabria,Total,1 persona,2013,63.0
06 Cantabria,Total,2 personas,2020,74.8
06 Cantabria,Total,2 personas,2019,74.4
06 Cantabria,Total,2 personas,2018,74.1
06 Cantabria,Total,2 personas,2017,73.6
06 Cantabria,Total,2 personas,2016,73.1
06 Cantabria,Total,2 personas,2015,73.0
06 Cantabria,Total,2 personas,2014,72.7
06 Cantabria,Total,2 personas,2013,71.6
06 Cantabria,Total,3 personas,2020,50.7
06 Cantabria,Total,3 personas,2019,50.9
06 Cantabria,Total,3 personas,2018,50.9
06 Cantabria,Total,3 personas,2017,51.2
06 Cantabria,Total,3 personas,2016,51.4
06 Cantabria,Total,3 personas,2015,51.6
06 Cantabria,Total,3 personas,2014,51.8
06 Cantabria,Total,3 personas,2013,52.1
06 Cantabria,Total,4 personas,2020,37.4
06 Cantabria,Total,4 personas,2019,37.8
06 Cantabria,Total,4 personas,2018,37.7
06 Cantabria,Total,4 personas,2017,38.0
06 Cantabria,Total,4 personas,2016,38.1
06 Cantabria,Total,4 personas,2015,38.3
06 Cantabria,Total,4 personas,2014,38.5
06 Cantabria,Total,4 personas,2013,39.2
06 Cantabria,Total,5 personas,2020,8.6
06 Cantabria,Total,5 personas,2019,8.4
06 Cantabria,Total,5 personas,2018,8.0
06 Cantabria,Total,5 personas,2017,8.5
06 Cantabria,Total,5 personas,2016,8.0
06 Cantabria,Total,5 personas,2015,8.3
06 Cantabria,Total,5 personas,2014,8.5
06 Cantabria,Total,5 personas,2013,9.0
06 Cantabria,Total,6 personas,2020,1.3
06 Cantabria,Total,6 personas,2019,1.8
06 Cantabria,Total,6 personas,2018,1.9
06 Cantabria,Total,6 personas,2017,1.8
06 Cantabria,Total,6 personas,2016,2.7
06 Cantabria,Total,6 personas,2015,2.5
06 Cantabria,Total,6 personas,2014,2.3
06 Cantabria,Total,6 personas,2013,2.4
06 Cantabria,Total,7 personas,2020,0.4
06 Cantabria,Total,7 personas,2019,0.2
06 Cantabria,Total,7 personas,2018,0.3
06 Cantabria,Total,7 personas,2017,0.2
06 Cantabria,Total,7 personas,2016,0.2
06 Cantabria,Total,7 personas,2015,0.3
06 Cantabria,Total,7 personas,2014,0.6
06 Cantabria,Total,7 personas,2013,0.2
06 Cantabria,Total,8 personas o más,2020,0.1
06 Cantabria,Total,8 personas o más,2019,0.1
06 Cantabria,Total,8 personas o más,2018,0.4
06 Cantabria,Total,8 personas o más,2017,0.1
06 Cantabria,Total,8 personas o más,2016,0.0
06 Cantabria,Total,8 personas o más,2013,0.3
06 Cantabria,Menos de 46 m2,Total,2020,8.1
06 Cantabria,Menos de 46 m2,Total,2019,7.1
06 Cantabria,Menos de 46 m2,Total,2018,7.2
06 Cantabria,Menos de 46 m2,Total,2017,5.1
06 Cantabria,Menos de 46 m2,Total,2016,3.7
06 Cantabria,Menos de 46 m2,Total,2015,3.4
06 Cantabria,Menos de 46 m2,Total,2014,5.9
06 Cantabria,Menos de 46 m2,Total,2013,5.8
06 Cantabria,Menos de 46 m2,1 persona,2020,4.6
06 Cantabria,Menos de 46 m2,1 persona,2019,3.8
06 Cantabria,Menos de 46 m2,1 persona,2018,4.9
06 Cantabria,Menos de 46 m2,1 persona,2017,3.7
06 Cantabria,Menos de 46 m2,1 persona,2016,1.5
06 Cantabria,Menos de 46 m2,1 persona,2015,2.2
06 Cantabria,Menos de 46 m2,1 persona,2014,3.4
06 Cantabria,Menos de 46 m2,1 persona,2013,4.1
06 Cantabria,Menos de 46 m2,2 personas,2020,1.5
06 Cantabria,Menos de 46 m2,2 personas,2019,1.5
06 Cantabria,Menos de 46 m2,2 personas,2018,1.6
06 Cantabria,Menos de 46 m2,2 personas,2017,1.4
06 Cantabria,Menos de 46 m2,2 personas,2016,1.2
06 Cantabria,Menos de 46 m2,2 personas,2015,0.9
06 Cantabria,Menos de 46 m2,2 personas,2014,1.9
06 Cantabria,Menos de 46 m2,2 personas,2013,1.2
06 Cantabria,Menos de 46 m2,3 personas,2020,1.2
06 Cantabria,Menos de 46 m2,3 personas,2019,1.3
06 Cantabria,Menos de 46 m2,3 personas,2018,0.3
06 Cantabria,Menos de 46 m2,3 personas,2016,0.4
06 Cantabria,Menos de 46 m2,3 personas,2014,0.6
06 Cantabria,Menos de 46 m2,3 personas,2013,0.4
06 Cantabria,Menos de 46 m2,4 personas,2020,0.4
06 Cantabria,Menos de 46 m2,4 personas,2019,0.4
06 Cantabria,Menos de 46 m2,4 personas,2018,0.3
06 Cantabria,Menos de 46 m2,4 personas,2016,0.7
06 Cantabria,Menos de 46 m2,4 personas,2015,0.2
06 Cantabria,Menos de 46 m2,4 personas,2013,0.2
06 Cantabria,Menos de 46 m2,5 personas,2020,0.4
06 Cantabria,Menos de 46 m2,5 personas,2018,0.2
06 Cantabria,Entre 46 y 75 m2,Total,2020,72.7
06 Cantabria,Entre 46 y 75 m2,Total,2019,76.6
06 Cantabria,Entre 46 y 75 m2,Total,2018,75.1
06 Cantabria,Entre 46 y 75 m2,Total,2017,86.2
06 Cantabria,Entre 46 y 75 m2,Total,2016,86.4
06 Cantabria,Entre 46 y 75 m2,Total,2015,79.0
06 Cantabria,Entre 46 y 75 m2,Total,2014,81.6
06 Cantabria,Entre 46 y 75 m2,Total,2013,79.5
06 Cantabria,Entre 46 y 75 m2,1 persona,2020,29.7
06 Cantabria,Entre 46 y 75 m2,1 persona,2019,25.8
06 Cantabria,Entre 46 y 75 m2,1 persona,2018,24.2
06 Cantabria,Entre 46 y 75 m2,1 persona,2017,28.6
06 Cantabria,Entre 46 y 75 m2,1 persona,2016,30.3
06 Cantabria,Entre 46 y 75 m2,1 persona,2015,26.6
06 Cantabria,Entre 46 y 75 m2,1 persona,2014,28.3
06 Cantabria,Entre 46 y 75 m2,1 persona,2013,27.7
06 Cantabria,Entre 46 y 75 m2,2 personas,2020,22.5
06 Cantabria,Entre 46 y 75 m2,2 personas,2019,25.5
06 Cantabria,Entre 46 y 75 m2,2 personas,2018,26.6
06 Cantabria,Entre 46 y 75 m2,2 personas,2017,26.5
06 Cantabria,Entre 46 y 75 m2,2 personas,2016,25.6
06 Cantabria,Entre 46 y 75 m2,2 personas,2015,24.0
06 Cantabria,Entre 46 y 75 m2,2 personas,2014,25.2
06 Cantabria,Entre 46 y 75 m2,2 personas,2013,25.1
06 Cantabria,Entre 46 y 75 m2,3 personas,2020,12.5
06 Cantabria,Entre 46 y 75 m2,3 personas,2019,13.9
06 Cantabria,Entre 46 y 75 m2,3 personas,2018,14.9
06 Cantabria,Entre 46 y 75 m2,3 personas,2017,17.8
06 Cantabria,Entre 46 y 75 m2,3 personas,2016,17.0
06 Cantabria,Entre 46 y 75 m2,3 personas,2015,16.3
06 Cantabria,Entre 46 y 75 m2,3 personas,2014,15.9
06 Cantabria,Entre 46 y 75 m2,3 personas,2013,16.8
06 Cantabria,Entre 46 y 75 m2,4 personas,2020,5.5
06 Cantabria,Entre 46 y 75 m2,4 personas,2019,9.9
06 Cantabria,Entre 46 y 75 m2,4 personas,2018,6.6
06 Cantabria,Entre 46 y 75 m2,4 personas,2017,10.7
06 Cantabria,Entre 46 y 75 m2,4 personas,2016,9.9
06 Cantabria,Entre 46 y 75 m2,4 personas,2015,9.5
06 Cantabria,Entre 46 y 75 m2,4 personas,2014,10.6
06 Cantabria,Entre 46 y 75 m2,4 personas,2013,8.1
06 Cantabria,Entre 46 y 75 m2,5 personas,2020,2.4
06 Cantabria,Entre 46 y 75 m2,5 personas,2019,1.2
06 Cantabria,Entre 46 y 75 m2,5 personas,2018,2.1
06 Cantabria,Entre 46 y 75 m2,5 personas,2017,2.4
06 Cantabria,Entre 46 y 75 m2,5 personas,2016,3.1
06 Cantabria,Entre 46 y 75 m2,5 personas,2015,1.4
06 Cantabria,Entre 46 y 75 m2,5 personas,2014,0.8
06 Cantabria,Entre 46 y 75 m2,5 personas,2013,1.7
06 Cantabria,Entre 46 y 75 m2,6 personas,2019,0.3
06 Cantabria,Entre 46 y 75 m2,6 personas,2018,0.7
06 Cantabria,Entre 46 y 75 m2,6 personas,2017,0.2
06 Cantabria,Entre 46 y 75 m2,6 personas,2016,0.5
06 Cantabria,Entre 46 y 75 m2,6 personas,2015,1.0
06 Cantabria,Entre 46 y 75 m2,6 personas,2014,0.8
06 Cantabria,Entre 46 y 75 m2,7 personas,2020,0.1
06 Cantabria,Entre 46 y 75 m2,7 personas,2017,0.1
06 Cantabria,Entre 46 y 75 m2,7 personas,2016,0.1
06 Cantabria,Entre 46 y 75 m2,7 personas,2015,0.1
06 Cantabria,Entre 76 y 105 m2,Total,2020,85.4
06 Cantabria,Entre 76 y 105 m2,Total,2019,94.5
06 Cantabria,Entre 76 y 105 m2,Total,2018,88.8
06 Cantabria,Entre 76 y 105 m2,Total,2017,88.9
06 Cantabria,Entre 76 y 105 m2,Total,2016,86.1
06 Cantabria,Entre 76 y 105 m2,Total,2015,90.5
06 Cantabria,Entre 76 y 105 m2,Total,2014,92.5
06 Cantabria,Entre 76 y 105 m2,Total,2013,84.5
06 Cantabria,Entre 76 y 105 m2,1 persona,2020,20.6
06 Cantabria,Entre 76 y 105 m2,1 persona,2019,26.1
06 Cantabria,Entre 76 y 105 m2,1 persona,2018,23.6
06 Cantabria,Entre 76 y 105 m2,1 persona,2017,21.4
06 Cantabria,Entre 76 y 105 m2,1 persona,2016,20.3
06 Cantabria,Entre 76 y 105 m2,1 persona,2015,25.3
06 Cantabria,Entre 76 y 105 m2,1 persona,2014,22.7
06 Cantabria,Entre 76 y 105 m2,1 persona,2013,22.0
06 Cantabria,Entre 76 y 105 m2,2 personas,2020,28.2
06 Cantabria,Entre 76 y 105 m2,2 personas,2019,28.5
06 Cantabria,Entre 76 y 105 m2,2 personas,2018,26.2
06 Cantabria,Entre 76 y 105 m2,2 personas,2017,28.6
06 Cantabria,Entre 76 y 105 m2,2 personas,2016,27.1
06 Cantabria,Entre 76 y 105 m2,2 personas,2015,27.3
06 Cantabria,Entre 76 y 105 m2,2 personas,2014,30.1
06 Cantabria,Entre 76 y 105 m2,2 personas,2013,24.0
06 Cantabria,Entre 76 y 105 m2,3 personas,2020,19.1
06 Cantabria,Entre 76 y 105 m2,3 personas,2019,20.6
06 Cantabria,Entre 76 y 105 m2,3 personas,2018,20.4
